                Time     Total_Variation            L2_Error
          3.15625000          4.03517534          0.14021388
          3.16250000          4.02713087          0.13326396
          3.16875000          4.03859972          0.14031730
          3.17500000          4.03006566          0.13337207
          3.18125000          4.04112176          0.14042078
          3.18750000          4.03106929          0.13348008
          3.19375000          4.04201033          0.14052399
          3.20000000          4.03248859          0.13358766
          3.20625000          4.04408649          0.14062671
          3.21250000          4.03463549          0.13369463
          3.21875000          4.04560521          0.14072883
          3.22500000          4.03750636          0.13380098
          3.23125000          4.04642775          0.14083041
          3.23750000          4.04024992          0.13390683
          3.24375000          4.04651043          0.14093160
          3.25000000          4.04180269          0.13401235
          3.25625000          4.04587670          0.14103255
          3.26250000          4.04461771          0.13411768
          3.26875000          4.04573295          0.14113337
          3.27500000          4.04753347          0.13422288
          3.28125000          4.04557961          0.14123404
          3.28750000          4.04940902          0.13432788
          3.29375000          4.04560040          0.14133447
          3.30000000          4.05116121          0.13443253
          3.30625000          4.04523813          0.14143448
          3.31250000          4.05294683          0.13453668
          3.31875000          4.04437389          0.14153394
          3.32500000          4.05441664          0.13464016
          3.33125000          4.04324113          0.14163268
          3.33750000          4.05558481          0.13474283
          3.34375000          4.04185339          0.14173058
          3.35000000          4.05685339          0.13484451
          3.35625000          4.04246863          0.14182743
          3.36250000          4.05885780          0.13494497
          3.36875000          4.04285426          0.14192297
          3.37500000          4.06054755          0.13504389
          3.38125000          4.04307906          0.14201685
          3.38750000          4.06181506          0.13514086
          3.39375000          4.04370227          0.14210866
          3.40000000          4.06314885          0.13523549
          3.40625000          4.04498240          0.14219818
          3.41250000          4.06409796          0.13532765
          3.41875000          4.04717858          0.14228512
          3.42500000          4.06490313          0.13541733
          3.43125000          4.04981991          0.14237089
          3.43750000          4.06589152          0.13550648
          3.44375000          4.05200944          0.14245492
          3.45000000          4.06701072          0.13559542
          3.45625000          4.05374760          0.14254671
          3.46250000          4.06808240          0.13569501
          3.46875000          4.05527114          0.14263832
          3.47500000          4.06884812          0.13580000
          3.48125000          4.05635605          0.14276079
          3.48750000          4.07016999          0.13593823
