                Time     Total_Variation            L2_Error
          3.81250000          2.02194997          0.06560240
          3.81875000          2.02197790          0.05992637
          3.82500000          2.02200672          0.06561553
          3.83125000          2.02203665          0.05993832
          3.83750000          2.02206460          0.06562876
          3.84375000          2.02209627          0.05995053
          3.85000000          2.02212348          0.06564209
          3.85625000          2.02215675          0.05996301
          3.86250000          2.02218340          0.06565554
          3.86875000          2.02221822          0.05997576
          3.87500000          2.02224448          0.06566911
          3.88125000          2.02228086          0.05998877
          3.88750000          2.02230703          0.06568280
          3.89375000          2.02234521          0.06000205
          3.90000000          2.02237156          0.06569660
          3.90625000          2.02241093          0.06001557
          3.91250000          2.02243754          0.06571052
          3.91875000          2.02247538          0.06002932
          3.92500000          2.02250178          0.06572454
          3.93125000          2.02253675          0.06004330
          3.93750000          2.02256242          0.06573866
          3.94375000          2.02259507          0.06005750
          3.95000000          2.02262052          0.06575289
          3.95625000          2.02265166          0.06007191
          3.96250000          2.02267745          0.06576724
          3.96875000          2.02270777          0.06008653
          3.97500000          2.02273435          0.06578170
          3.98125000          2.02276436          0.06010134
          3.98750000          2.02279201          0.06579628
          3.99375000          2.02282204          0.06011636
          4.00000000          2.02285093          0.06581099
          4.00625000          2.02288119          0.06013157
          4.01250000          2.02291141          0.06582585
          4.01875000          2.02294199          0.06014699
          4.02500000          2.02297355          0.06584085
          4.03125000          2.02300447          0.06016262
          4.03750000          2.02303732          0.06585600
          4.04375000          2.02306856          0.06017847
          4.05000000          2.02310259          0.06587132
          4.05625000          2.02313409          0.06019453
          4.06250000          2.02316909          0.06588679
          4.06875000          2.02320079          0.06021080
          4.07500000          2.02323654          0.06590243
          4.08125000          2.02326840          0.06022730
          4.08750000          2.02330478          0.06591823
          4.09375000          2.02333674          0.06024401
          4.10000000          2.02337364          0.06593420
          4.10625000          2.02340565          0.06026093
          4.11250000          2.02344299          0.06595034
          4.11875000          2.02347501          0.06027807
          4.12500000          2.02351272          0.06596664
          4.13125000          2.02354472          0.06029542
          4.13750000          2.02358275          0.06598311
          4.14375000          2.02361470          0.06031299
          4.15000000          2.02365301          0.06599975
          4.15625000          2.02368491          0.06033077
          4.16250000          2.02372347          0.06601656
          4.16875000          2.02375530          0.06034876
          4.17500000          2.02379409          0.06603354
          4.18125000          2.02382584          0.06036695
          4.18750000          2.02386485          0.06605068
          4.19375000          2.02389705          0.06038536
          4.20000000          2.02393601          0.06606800
          4.20625000          2.02396883          0.06040397
          4.21250000          2.02400763          0.06608548
          4.21875000          2.02404100          0.06042279
          4.22500000          2.02407968          0.06610314
          4.23125000          2.02411358          0.06044181
          4.23750000          2.02415216          0.06612096
          4.24375000          2.02418661          0.06046103
          4.25000000          2.02422514          0.06613895
          4.25625000          2.02426011          0.06048045
          4.26250000          2.02429866          0.06615712
          4.26875000          2.02433412          0.06050007
          4.27500000          2.02437279          0.06617544
          4.28125000          2.02440880          0.06051988
          4.28750000          2.02444773          0.06619394
          4.29375000          2.02448438          0.06053988
          4.30000000          2.02452374          0.06621260
          4.30625000          2.02456118          0.06056007
          4.31250000          2.02460116          0.06623143
          4.31875000          2.02463961          0.06058045
          4.32500000          2.02468047          0.06625042
          4.33125000          2.02472018          0.06060100
          4.33750000          2.02476223          0.06626958
          4.34375000          2.02480353          0.06062174
          4.35000000          2.02484590          0.06628889
          4.35625000          2.02488892          0.06064265
          4.36250000          2.02493458          0.06630835
          4.36875000          2.02498092          0.06066373
          4.37500000          2.02502982          0.06632794
          4.38125000          2.02508310          0.06068496
          4.38750000          2.02513181          0.06634766
          4.39375000          2.02517793          0.06070631
          4.40000000          2.02522054          0.06636748
          4.40625000          2.02525076          0.06072779
          4.41250000          2.02526485          0.06638741
          4.41875000          2.02524441          0.06074940
          4.42500000          2.02514444          0.06640748
          4.43125000          2.02485263          0.06077125
          4.43750000          2.02409831          0.06642797
          4.44375000          2.02222672          0.06079391
          4.45000000          2.01765709          0.06644984
          4.45625000          2.00657252          0.06082085
          4.46250000          1.99781352          0.06648192
          4.46875000          1.99781163          0.06083941
          4.47500000          1.99780936          0.06649338
          4.48125000          1.99780759          0.06110877
          4.48750000          1.99780526          0.06794380
          4.49375000          1.99780360          0.06435658
          4.50000000          1.99780123          0.07198456
          4.50625000          1.99779968          0.06241605
          4.51250000          1.99779726          0.07124130
          4.51875000          1.99779582          0.06208661
          4.52500000          1.99779335          0.07121984
          4.53125000          1.99779201          0.06212753
          4.53750000          2.00805028          0.07119653
          4.54375000          2.01577845          0.06216560
          4.55000000          2.02013101          0.07118422
          4.55625000          2.02266902          0.06219176
          4.56250000          2.02417102          0.07120038
          4.56875000          2.02506814          0.06222544
